Tahmin Tarihi,Kurum,Analist,Format,Belge Adı,Varlık,Vade,Hedef Tarihi,Spot Fiyat,Hedef Fiyat,Analiz Tezi,Gerçekleşen Fiyat,Sapma (pip),Yön İsabeti
2026-01-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/USD,+3M,2026-04-19,1.1600,1.1900,Jeopolitik riskler artıyor; EUR/USD yükseliş yörüngesi sürüyor,,,⏳
2026-01-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/USD,+6M,2026-07-19,1.1600,1.2100,Jeopolitik riskler artıyor; EUR/USD yükseliş yörüngesi sürüyor,,,⏳
2026-01-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/USD,+12M,2027-01-19,1.1600,1.2300,Jeopolitik riskler artıyor; EUR/USD yükseliş yörüngesi sürüyor,,,⏳
2026-02-17,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/USD,+1M,2026-03-17,1.1900,1.1900,Dolar şüpheciliği devam; EUR/USD 1.25 hedefini koruyor,1.1600,-300 pip (-2.52%),❌
2026-02-17,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/USD,+3M,2026-05-17,1.1900,1.2100,Dolar şüpheciliği devam; EUR/USD 1.25 hedefini koruyor,,,⏳
2026-02-17,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/USD,+6M,2026-08-17,1.1900,1.2300,Dolar şüpheciliği devam; EUR/USD 1.25 hedefini koruyor,,,⏳
2026-02-17,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/USD,+12M,2027-02-17,1.1900,1.2500,Dolar şüpheciliği devam; EUR/USD 1.25 hedefini koruyor,,,⏳
2026-03-20,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/USD,+1M,2026-04-20,1.1600,1.1300,Enerji şoku kısa vadede USD destekliyor; 12M'de 1.22 hedef,,,⏳
2026-03-20,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/USD,+3M,2026-06-20,1.1600,1.1200,Enerji şoku kısa vadede USD destekliyor; 12M'de 1.22 hedef,,,⏳
2026-03-20,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/USD,+6M,2026-09-20,1.1600,1.1700,Enerji şoku kısa vadede USD destekliyor; 12M'de 1.22 hedef,,,⏳
2026-03-20,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/USD,+12M,2027-03-20,1.1600,1.2200,Enerji şoku kısa vadede USD destekliyor; 12M'de 1.22 hedef,,,⏳
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/JPY,+1M,2025-07-23,169.00,167.00,EUR/JPY düşüş beklentisi; spot 169,172.00,500 pip (2.99%),❌
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/JPY,+3M,2025-09-23,169.00,168.00,EUR/JPY düşüş beklentisi; spot 169,174.00,600 pip (3.57%),❌
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/JPY,+6M,2025-12-23,169.00,167.00,EUR/JPY düşüş beklentisi; spot 169,184.00,1700 pip (10.18%),❌
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/JPY,+12M,2026-06-23,169.00,165.00,EUR/JPY düşüş beklentisi; spot 169,,,⏳
2025-07-22,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/JPY,+1M,2025-08-22,172.00,173.00,EUR/JPY düşüş beklentisi; spot 172,172.00,-100 pip (-0.58%),⚠️
2025-07-22,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/JPY,+3M,2025-10-22,172.00,174.00,EUR/JPY düşüş beklentisi; spot 172,180.00,600 pip (3.45%),✅
2025-07-22,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/JPY,+6M,2026-01-22,172.00,173.00,EUR/JPY düşüş beklentisi; spot 172,182.00,900 pip (5.20%),✅
2025-07-22,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/JPY,+12M,2026-07-22,172.00,171.00,EUR/JPY düşüş beklentisi; spot 172,,,⏳
2025-08-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/JPY,+1M,2025-09-19,172.00,171.00,EUR/JPY düşüş beklentisi; spot 172,174.00,300 pip (1.75%),❌
2025-08-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/JPY,+3M,2025-11-19,172.00,170.00,EUR/JPY düşüş beklentisi; spot 172,184.00,1400 pip (8.24%),❌
2025-08-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/JPY,+6M,2026-02-19,172.00,169.00,EUR/JPY düşüş beklentisi; spot 172,183.00,1400 pip (8.28%),❌
2025-08-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/JPY,+12M,2026-08-19,172.00,170.00,EUR/JPY düşüş beklentisi; spot 172,,,⏳
2025-09-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/JPY,+1M,2025-10-19,174.00,171.00,EUR/JPY düşüş beklentisi; spot 174,180.00,900 pip (5.26%),❌
2025-09-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/JPY,+3M,2025-12-19,174.00,170.00,EUR/JPY düşüş beklentisi; spot 174,184.00,1400 pip (8.24%),❌
2025-09-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/JPY,+6M,2026-03-19,174.00,169.00,EUR/JPY düşüş beklentisi; spot 174,182.46,1346 pip (7.96%),❌
2025-09-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/JPY,+12M,2026-09-19,174.00,170.00,EUR/JPY düşüş beklentisi; spot 174,,,⏳
2025-11-18,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/JPY,+1M,2025-12-18,180.00,178.00,EUR/JPY düşüş beklentisi; spot 180,184.00,600 pip (3.37%),❌
2025-11-18,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/JPY,+3M,2026-02-18,180.00,179.00,EUR/JPY düşüş beklentisi; spot 180,182.00,300 pip (1.68%),❌
2025-11-18,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/JPY,+6M,2026-05-18,180.00,179.00,EUR/JPY düşüş beklentisi; spot 180,,,⏳
2025-11-18,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/JPY,+12M,2026-11-18,180.00,177.00,EUR/JPY düşüş beklentisi; spot 180,,,⏳
2025-12-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/JPY,+1M,2026-01-19,184.00,181.00,EUR/JPY düşüş beklentisi; spot 184,184.00,300 pip (1.66%),⚠️
2025-12-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/JPY,+3M,2026-03-19,184.00,181.00,EUR/JPY düşüş beklentisi; spot 184,183.00,200 pip (1.10%),✅
2025-12-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/JPY,+6M,2026-06-19,184.00,180.00,EUR/JPY düşüş beklentisi; spot 184,,,⏳
2025-12-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/JPY,+12M,2026-12-19,184.00,178.00,EUR/JPY düşüş beklentisi; spot 184,,,⏳
2026-01-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/JPY,+1M,2026-02-19,184.00,184.00,EUR/JPY düşüş beklentisi; spot 184,182.00,-200 pip (-1.09%),❌
2026-01-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/JPY,+3M,2026-04-19,184.00,183.00,EUR/JPY düşüş beklentisi; spot 184,,,⏳
2026-01-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/JPY,+6M,2026-07-19,184.00,183.00,EUR/JPY düşüş beklentisi; spot 184,,,⏳
2026-01-19,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/JPY,+12M,2027-01-19,184.00,181.00,EUR/JPY düşüş beklentisi; spot 184,,,⏳
2026-02-17,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/JPY,+1M,2026-03-17,182.00,182.00,EUR/JPY düşüş beklentisi; spot 182,183.00,100 pip (0.55%),❌
2026-02-17,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/JPY,+3M,2026-05-17,182.00,182.00,EUR/JPY düşüş beklentisi; spot 182,,,⏳
2026-02-17,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/JPY,+6M,2026-08-17,182.00,181.00,EUR/JPY düşüş beklentisi; spot 182,,,⏳
2026-02-17,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/JPY,+12M,2027-02-17,182.00,179.00,EUR/JPY düşüş beklentisi; spot 182,,,⏳
2026-03-20,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/JPY,+1M,2026-04-20,183.00,180.00,EUR/JPY nötr beklentisi; spot 183,,,⏳
2026-03-20,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/JPY,+3M,2026-06-20,183.00,178.00,EUR/JPY nötr beklentisi; spot 183,,,⏳
2026-03-20,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/JPY,+6M,2026-09-20,183.00,170.00,EUR/JPY nötr beklentisi; spot 183,,,⏳
2026-03-20,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/JPY,+12M,2027-03-20,183.00,183.00,EUR/JPY nötr beklentisi; spot 183,,,⏳
2025-06-23,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/GBP,+1M,2025-07-23,0.8600,0.8500,İngiltere zayıf büyüme ile GBP baskıda; EUR/GBP yükseliyor,0.8700,200 pip (2.35%),❌
2025-06-23,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/GBP,+3M,2025-09-23,0.8600,0.8600,İngiltere zayıf büyüme ile GBP baskıda; EUR/GBP yükseliyor,0.8700,100 pip (1.16%),❌
2025-06-23,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/GBP,+6M,2025-12-23,0.8600,0.8700,İngiltere zayıf büyüme ile GBP baskıda; EUR/GBP yükseliyor,0.8800,100 pip (1.15%),✅
2025-06-23,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/GBP,+12M,2026-06-23,0.8600,0.8700,İngiltere zayıf büyüme ile GBP baskıda; EUR/GBP yükseliyor,,,⏳
2025-07-22,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/GBP,+1M,2025-08-22,0.8700,0.8700,GBP İngiltere verilerine duyarlı; zayıflık beklentisi devam,0.8600,-100 pip (-1.15%),❌
2025-07-22,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/GBP,+3M,2025-10-22,0.8700,0.8800,GBP İngiltere verilerine duyarlı; zayıflık beklentisi devam,0.8700,-100 pip (-1.14%),⚠️
2025-07-22,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/GBP,+6M,2026-01-22,0.8700,0.8900,GBP İngiltere verilerine duyarlı; zayıflık beklentisi devam,0.8700,-200 pip (-2.25%),⚠️
2025-07-22,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/GBP,+12M,2026-07-22,0.8700,0.8900,GBP İngiltere verilerine duyarlı; zayıflık beklentisi devam,,,⏳
2025-08-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/GBP,+1M,2025-09-19,0.8600,0.8700,BoE 25bp indirdi ama GBP zayıf kalmaya devam ediyor,0.8700,0 pip (0.00%),✅
2025-08-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/GBP,+3M,2025-11-19,0.8600,0.8800,BoE 25bp indirdi ama GBP zayıf kalmaya devam ediyor,0.8800,0 pip (0.00%),✅
2025-08-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/GBP,+6M,2026-02-19,0.8600,0.8900,BoE 25bp indirdi ama GBP zayıf kalmaya devam ediyor,0.8700,-200 pip (-2.25%),✅
2025-08-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/GBP,+12M,2026-08-19,0.8600,0.8900,BoE 25bp indirdi ama GBP zayıf kalmaya devam ediyor,,,⏳
2025-09-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/GBP,+1M,2025-10-19,0.8700,0.8700,İngiltere zayıf; EUR/GBP yükseliş potansiyeli mevcut,0.8700,0 pip (0.00%),✅
2025-09-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/GBP,+3M,2025-12-19,0.8700,0.8800,İngiltere zayıf; EUR/GBP yükseliş potansiyeli mevcut,0.8800,0 pip (0.00%),✅
2025-09-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/GBP,+6M,2026-03-19,0.8700,0.8900,İngiltere zayıf; EUR/GBP yükseliş potansiyeli mevcut,0.8600,-300 pip (-3.37%),❌
2025-09-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/GBP,+12M,2026-09-19,0.8700,0.8900,İngiltere zayıf; EUR/GBP yükseliş potansiyeli mevcut,,,⏳
2025-10-21,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/GBP,+1M,2025-11-21,0.8700,0.8700,GBP İngiltere ekonomik verilerine duyarlı; zayıf seyir,0.8800,100 pip (1.15%),❌
2025-10-21,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/GBP,+3M,2026-01-21,0.8700,0.8800,GBP İngiltere ekonomik verilerine duyarlı; zayıf seyir,0.8700,-100 pip (-1.14%),⚠️
2025-10-21,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/GBP,+6M,2026-04-21,0.8700,0.8900,GBP İngiltere ekonomik verilerine duyarlı; zayıf seyir,,,⏳
2025-10-21,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/GBP,+12M,2026-10-21,0.8700,0.8900,GBP İngiltere ekonomik verilerine duyarlı; zayıf seyir,,,⏳
2025-11-18,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/GBP,+1M,2025-12-18,0.8800,0.8800,GBP zayıf ekonomi ile baskılanıyor; EUR/GBP yükselecek,0.8800,0 pip (0.00%),✅
2025-11-18,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/GBP,+3M,2026-02-18,0.8800,0.8900,GBP zayıf ekonomi ile baskılanıyor; EUR/GBP yükselecek,0.8700,-200 pip (-2.25%),❌
2025-11-18,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/GBP,+6M,2026-05-18,0.8800,0.9000,GBP zayıf ekonomi ile baskılanıyor; EUR/GBP yükselecek,,,⏳
2025-11-18,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/GBP,+12M,2026-11-18,0.8800,0.9000,GBP zayıf ekonomi ile baskılanıyor; EUR/GBP yükselecek,,,⏳
2025-12-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/GBP,+1M,2026-01-19,0.8800,0.8800,GBP 2026'ya zayıf giriyor; EUR/GBP yükselecek,0.8700,-100 pip (-1.14%),❌
2025-12-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/GBP,+3M,2026-03-19,0.8800,0.8900,GBP 2026'ya zayıf giriyor; EUR/GBP yükselecek,0.8600,-300 pip (-3.37%),❌
2025-12-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/GBP,+6M,2026-06-19,0.8800,0.9000,GBP 2026'ya zayıf giriyor; EUR/GBP yükselecek,,,⏳
2025-12-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/GBP,+12M,2026-12-19,0.8800,0.9000,GBP 2026'ya zayıf giriyor; EUR/GBP yükselecek,,,⏳
2026-01-19,Danske Bank,Kirstine Kundby-Nielsen,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/GBP,+1M,2026-02-19,0.8700,0.8700,GBP İngiltere politika belirsizliğiyle baskıda,0.8700,0 pip (0.00%),✅
